umap_1,umap_2,kmeans_label
7.035377,5.0646544,4
19.498655,-5.029131,5
-9.475248,8.501844,5
4.6017685,-2.24752,5
13.547652,-0.16167712,4
-4.370915,-0.88865644,6
-5.805064,-2.1033552,6
-4.918119,5.7140684,5
15.151659,22.445679,4
3.412679,-2.7020001,5
-9.379615,8.31298,5
2.2939606,9.398575,2
7.861339,6.2655115,4
-1.097394,20.599266,5
10.895001,-4.0411043,1
11.379067,21.594603,2
6.3616138,-1.6291485,5
13.304293,17.023203,3
10.610406,-9.091742,3
6.3751416,-0.5017035,5
2.864222,-1.9273108,5
-4.312244,-1.003568,6
-5.253933,-3.1339033,6
11.211768,21.759695,2
-6.672896,-7.2640557,0
-3.962899,-0.1320098,6
6.0413814,-0.07317164,5
6.167138,5.34577,4
10.715265,-2.629673,1
-5.3196745,-2.876412,6
2.9710271,-1.4403397,5
11.132052,-3.5917146,1
-5.016845,6.0166936,5
3.5867789,-0.13258885,5
-16.043913,14.819606,4
0.28700876,6.2583528,2
3.225577,-2.0047994,5
14.770439,-1.0320693,4
9.0011835,15.253198,4
0.5207654,19.50279,5
17.35056,5.7823415,1
4.9332056,-1.7466507,5
-0.91161186,3.558209,1
6.8199577,-9.8979845,3
7.0582905,5.5855885,4
6.1881075,-1.526025,5
4.4940605,0.59991515,5
-6.3013473,-7.298077,0
6.073131,5.5147367,4
7.305439,7.2129006,4
5.657154,6.3184085,4
-12.296805,-2.4901786,0
4.603422,0.24850896,5
2.9647248,16.69486,4
-0.7930194,20.285202,5
5.5677404,-0.59709615,5
0.18903518,20.257662,5
18.688429,-5.6377354,5
17.898237,18.81459,4
-0.91746944,20.414898,5
1.5477393,9.1720085,2
1.113418,9.558379,2
-7.6273317,8.66334,5
-4.2171187,5.46066,5
2.2971556,-10.181212,0
8.73628,6.2569766,4
23.089806,2.5450144,2
3.5559921,-2.4659626,5
-5.741232,-11.644273,0
17.691145,-5.470264,5
6.813157,-10.438063,3
17.438799,9.946063,4
0.5508461,19.966738,5
2.1176832,10.333694,2
5.9185414,23.773869,4
1.6591398,10.712392,2
-7.1139402,12.776131,2
7.5492916,5.9410067,4
14.572641,-1.183252,4
2.1016836,10.312686,2
2.4674814,10.163141,2
-8.454563,12.946652,4
6.5150104,17.820303,4
-3.824867,6.531858,5
-11.9758625,14.541141,3
17.38088,9.821087,4
8.668673,6.1426363,4
5.680457,0.1225851,5
-5.756161,-2.8307798,6
0.5919223,19.416523,5
-4.73551,17.879103,6
-1.4705608,3.1761332,1
